URL,#_of_valid_wiki_pages_linked,#_of_supported_languages,word_count
Philosophy_Now,39,6,1451
Catherine_Goldstein,15,9,506
Thomas_Kuhn,603,68,5746
Penelope_Maddy,44,9,1379
Karen_Hunger_Parshall,42,6,1523
Advances_in_Mathematics,22,6,484
Norwood_Russell_Hanson,66,6,1917
Michael_Atiyah,771,47,10412
Roberta_Millstein,20,1,1264
National_Research_Council_(United_States),150,16,4439
NASA,2262,149,26324
Philosophy_of_Science_(journal),36,4,1023
Renate_Tobies,16,5,1227
G%C3%BCnter_M._Ziegler,122,12,1354
Florian_Cajori,35,18,1419
Ronald_Brown_(mathematician),56,5,1384
Four_Color_Theorem,188,57,6455
Eleanor_Robson,52,7,1582
Jackie_Stedall,55,3,1329
Christine_Proust,48,3,1464
TIMSS,1759,19,11872
PIRLS,545,16,4451
Lynch_School_of_Education_and_Human_Development,88,1,1162
International_Association_for_the_Evaluation_of_Educational_Achievement,5,9,643
PMC_(identifier),214,50,4037
The_Mathematical_Intelligencer,27,10,1153
Bertrand_Russell,2742,124,21616
Hermann_Weyl,326,61,5671
Solomon_Feferman,130,10,1827
Nicolas_Bouleau,53,1,1109
Carl_Benjamin_Boyer,26,15,889
Wiley_(publisher),174,29,7151
Howard_Eves,11,4,658
Morris_Kline,43,16,1755
Benjamin_Peirce,84,27,1928
Charles_Sanders_Peirce,977,62,20388
Karl_Popper,1865,91,17797
Peter_Whittle_(mathematician),589,9,3267
Frank_Kelly_(mathematician),308,5,1879
Philip_J._Davis,100,9,1347
Reuben_Hersh,90,10,1204
The_Mathematical_Experience,41,3,862
Richard_Courant,85,28,1854
Herbert_Robbins,54,12,1317
Jan_Gullberg,24,2,1268
Michiel_Hazewinkel,26,6,960
Encyclopaedia_of_Mathematics,11,21,757
Archive.today,203,35,2590
Philip_Jourdain,34,5,800
Theoni_Pappas,16,2,1156
Wolfgang_Sartorius_von_Waltershausen,28,11,1009
Timeline_of_mathematics,790,12,8413
Future_of_mathematics,110,2,2610
Elementary_algebra,156,57,7323
Multilinear_algebra,237,25,1330
Hypercomplex_analysis,29,3,753
Differential_equation,314,96,4505
Measure_(mathematics),391,44,7478
Order_theory,283,27,5283
Arithmetic_geometry,284,16,2186
Finite_geometry,231,18,3601
Diophantine_geometry,297,13,1802
General_topology,333,30,6697
Differential_topology,148,27,2239
Geometric_topology,130,14,2251
Homotopy_theory,124,11,4607
Engineering_mathematics,169,11,760
Mathematical_finance,760,37,3820
Mathematical_psychology,458,17,3904
Mathematical_sociology,466,12,6004
Systems_science,276,23,1900
Theory_of_computation,243,42,3020
Mathematical_optimization,439,55,6976
Mathematicians,99,101,2945
List_of_mathematicians,38,1,729
Informal_mathematics,19,3,790
List_of_films_about_mathematicians,135,3,2056
